station_id,lat,lng,state
A256,-8.72972221,-49.85638888,PA
A001,-15.78944444,-47.92583332,DF
A401,-13.01666666,-38.51666666,BA
A101,-3.10333333,-60.01638888,AM
A601,-22.8,-43.68333333,RJ
A801,-30.05,-51.16666666,RS
A002,-16.64277777,-49.21999999,GO
A003,-17.71666667,-49.1,GO
A702,-20.45,-54.6,MS
A703,-22.5525,-55.71638888,MS
A704,-20.78999999,-51.71222222,MS
A402,-12.15,-45.01666666,BA
A705,-22.35805555,-49.02888888,SP
A802,-32.03333333,-52.1,RS
A803,-29.70833333,-53.70361111,RS
A804,-30.84249999,-55.61277777,RS
A805,-27.85416666,-53.7911111,RS
A901,-15.55916666,-56.72944443,MT
A902,-14.65,-57.41666666,MT
A904,-12.55,-55.71666666,MT
A905,-13.78333333,-57.83333333,MT
A906,-9.95,-54.88333333,MT
A404,-12.15222222,-45.82972221,BA
A405,-17.73333333,-39.26666666,BA
A502,-21.22888888,-43.76694443,MG
A505,-19.60555555,-46.94944444,MG
A506,-16.71666666,-43.86666666,MG
A507,-18.91722221,-48.25555555,MG
A508,-16.16666666,-40.68777777,MG
A602,-23.05,-43.6,RJ
A603,-22.58972221,-43.28222221,RJ
A604,-21.56666666,-41.95,RJ
A706,-22.75027777,-45.60388888,SP
A708,-20.57999999,-47.37999999,SP
A709,-22.30666666,-53.82722221,MS
A903,-13.45,-56.66666666,MT
A907,-16.45,-54.56666666,MT
A303,-9.55111111,-35.77027777,AL
A406,-12.65,-39.15,BA
A407,-13.52833332,-40.11972221,BA
A408,-12.51666666,-40.3,BA
A410,-14.65944444,-39.1811111,BA
A412,-12.11666666,-40.18333333,BA
A305,-3.83222221,-38.53777777,CE
A306,-3.73166666,-40.34555555,CE
A203,-2.52694443,-44.21305555,MA
A307,-9.38805555,-40.48944444,PE
A308,-3.08638888,-41.78333333,PI
A302,0.9,-29.31666666,RN
A304,-5.9,-35.2,RN
A409,-10.95027777,-37.05,SE
A201,-1.41027777,-48.43833333,PA
A202,-1.30083333,-47.93083332,PA
A707,-22.11999999,-51.4,SP
A807,-25.43333333,-49.26666666,PR
A806,-27.6025,-48.61999999,SC
A310,-6.97499999,-35.68499999,PB
A301,-8.05916666,-34.95944444,PE
A309,-8.41694443,-37.08333333,PE
A311,-6.76666666,-43.01666666,PI
A312,-5.07388888,-42.80694444,PI
A009,-10.18333333,-48.3,TO
A509,-22.86138888,-46.04333333,MG
A010,-12.615,-47.87194443,TO
A510,-20.76277777,-42.86388888,MG
A011,-18.96666666,-50.61666666,GO
A012,-16.27222222,-47.96638889,GO
A710,-19.69527777,-51.18138888,MS
A717,-18.98888888,-56.62305554,MS
A719,-20.47555554,-55.78388888,MS
A720,-18.51222222,-54.73583333,MS
A721,-22.19388888,-54.91138888,MS
A722,-20.38333333,-56.41666666,MS
A723,-21.70583333,-57.88666666,MS
A724,-18.99666666,-57.63749999,MS
A730,-18.80222222,-52.60277777,MS
A731,-21.60916666,-55.17777777,MS
A732,-19.42027777,-54.55305555,MS
A908,-14.01611111,-52.21222222,MT
A910,-9.56388888,-57.3936111,MT
A912,-15.52749999,-55.13555555,MT
A913,-13.70861111,-59.76277777,MT
A914,-11.28027777,-57.52666666,MT
A915,-14.42138888,-54.03527777,MT
A917,-11.98222221,-55.56583333,MT
A920,-11.36694443,-58.73305554,MT
A922,-15.06277777,-59.87277777,MT
A313,-7.24249999,-35.88888888,PB
A018,-12.01666666,-48.55,TO
A019,-11.74583333,-49.04972221,TO
A612,-20.26666666,-40.3,ES
A614,-19.35694444,-40.06861110000001,ES
A615,-20.63638888,-40.74138888,ES
A616,-18.71388888,-39.84833333,ES
A617,-20.75055555,-41.48888888,ES
A511,-19.5736111,-42.62222221,MG
A512,-18.95277777,-49.52499999,MG
A513,-20.54583333,-43.76944443,MG
A514,-21.22638888,-44.97944443,MG
A515,-21.56638888,-45.40416666,MG
A516,-20.74499999,-46.63388888,MG
A517,-21.10472222,-42.37583332,MG
A519,-19.53916666,-49.51805554,MG
A520,-19.98583333,-48.15138888,MG
A521,-19.88416666,-43.96944443,MG
A522,-17.7986111,-40.24972221,MG
A523,-18.99638888,-46.98583333,MG
A524,-20.45472222,-45.45388888,MG
A525,-19.87527777,-47.43416666,MG
A527,-17.9,-41.51666666,MG
A528,-18.20055555,-45.45972222,MG
A530,-21.91805554,-46.38305554,MG
A531,-22.31444444,-45.37277777,MG
A538,-18.76444444,-44.45361111,MG
A606,-22.98333333,-42.01666666,RJ
A607,-21.71666666,-41.35,RJ
A608,-22.38333333,-41.81666667,RJ
A609,-22.45,-44.45,RJ
A610,-22.48166666,-43.29138888,RJ
A611,-22.35,-43.7,RJ
A618,-22.44888888,-42.98722221,RJ
A619,-23.22333332,-44.72666666,RJ
A701,-23.48333333,-46.61666666,SP
A711,-21.97972221,-47.88333333,SP
A712,-24.71666666,-47.55,SP
A713,-23.35,-47.66666666,SP
A714,-23.98138888,-48.88527777,SP
A715,-23.85138888,-48.16444444,SP
A716,-22.9486111,-49.89416666,SP
A718,-22.37249999,-50.97416666,SP
A725,-23.09972221,-48.94555555,SP
A726,-22.70277777,-47.62305554,SP
A727,-21.66527777,-49.73416666,SP
A728,-23.04194444,-45.52027777,SP
A729,-20.40305555,-49.96583333,SP
A818,-25.01333333,-50.8711111,PR
A819,-24.78944444,-49.99972221,PR
A820,-24.53583333,-54.01972221,PR
A821,-23.50527777,-49.94638888,PR
A822,-24.43722221,-51.96305555,PR
A823,-25.56583333,-51.08944444,PR
A824,-23.39027777,-53.63472221,PR
A835,-23.40777777,-51.91666666,PR
A808,-29.35027777,-49.73305554,RS
A809,-29.84249999,-57.08249999,RS
A810,-27.89305555,-54.48055554,RS
A812,-30.54777777,-53.46749999,RS
A813,-29.87333332,-52.38249999,RS
A826,-29.71166666,-55.5261111,RS
A828,-27.66027777,-52.30638888,RS
A829,-28.75138888,-50.05833333,RS
A838,-30.81055555,-51.83472221,RS
A839,-28.22944443,-52.40388888,RS
A840,-29.16722221,-51.53472221,RS
A817,-26.91361111,-49.26749999,SC
A013,-15.90583333,-52.24388888,GO
A014,-15.93916666,-50.14138888,GO
A015,-14.98027777,-49.53944444,GO
A016,-17.92388888,-51.71777777,GO
A017,-14.08916666,-46.36638888,GO
A022,-15.22027777,-48.99027777,GO
A023,-16.96666666,-51.81749999,GO
A024,-14.13305554,-47.52305554,GO
A025,-17.78583333,-50.98138888,GO
A026,-17.45472222,-52.60111111,GO
A032,-13.24805555,-46.88972221,GO
A033,-17.30416666,-48.28416666,GO
A035,-18.40972222,-49.19194444,GO
A036,-16.78805555,-47.61166666,GO
A916,-12.5986111,-52.19444444,MT
A919,-9.90611111,-58.57194443,MT
A921,-11.61888888,-50.72777777,MT
A924,-9.84944444,-56.1,MT
A323,-9.76583333,-37.44777777,AL
A327,-9.42055554,-36.62027777,AL
A413,-12.19583333,-38.96722221,BA
A414,-14.8861111,-40.80138888,BA
A415,-11.01999999,-44.52499999,BA
A416,-13.33222221,-44.61722221,BA
A418,-13.41666666,-43.18416666,BA
A314,-4.26111111,-38.19749999,CE
A315,-7.31805554,-39.30166666,CE
A319,-6.39666666,-39.27027777,CE
A324,-6.01666666,-40.28166666,CE
A325,-5.17305554,-39.28722221,CE
A332,-5.13638888,-38.35638888,CE
A339,-4.85333333,-37.77694443,CE
A204,-7.45527777,-46.02749999,MA
A205,-7.33722221,-47.45972222,MA
A320,-7.16583333,-34.81527777,PB
A321,-7.07972221,-37.27249999,PB
A333,-6.75666666,-38.22749999,PB
A334,-7.89138888,-37.11527777,PB
A322,-8.90694444,-36.49472221,PE
A329,-8.50305555,-39.31388888,PE
A341,-8.236111099999999,-35.98583333,PE
A326,-9.08333333,-44.31666666,PI
A330,-8.07999999,-41.07999999,PI
A331,-8.36472222,-42.25083333,PI
A335,-4.26388888,-41.77805554,PI
A336,-8.44305555,-43.86472222,PI
A337,-9.2861111,-43.32444443,PI
A338,-3.90083333,-42.23694444,PI
A316,-6.45972222,-37.08888888,RN
A317,-5.15111111,-36.57305554,RN
A318,-4.90388888,-37.36694443,RN
A340,-5.62638888,-37.815,RN
A417,-11.27249999,-37.79472221,SE
A212,-3.01027777,-47.34305555,PA
A213,-2.6,-48.36666666,PA
A925,-8.76388888,-63.47499999,RO
A020,-8.968611099999997,-48.19416666,TO
A021,-7.10416666,-48.20111111,TO
A613,-19.98833333,-40.57944443,ES
A518,-21.76999999,-43.36416666,MG
A526,-15.08583333,-44.01583333,MG
A529,-22.3961111,-44.96166666,MG
A532,-18.83027777,-41.97666666,MG
A533,-18.78666666,-42.94305555,MG
A534,-19.53277777,-41.09083333,MG
A536,-19.48166666,-45.59388888,MG
A537,-18.2311111,-43.64805555,MG
A539,-15.08583333,-44.01611111,MG
A540,-18.78027777,-40.98583333,MG
A541,-17.70527777,-42.38916666,MG
A542,-16.55388888,-46.88194443,MG
A543,-14.91277777,-42.82972221,MG
A544,-15.52416666,-46.43555555,MG
A545,-17.25777777,-44.83555555,MG
A546,-17.56166666,-47.19944444,MG
A547,-16.3625,-45.12388888,MG
A548,-15.31,-45.61666666,MG
A549,-15.75222222,-41.45833333,MG
A550,-16.57555554,-41.48527777,MG
A551,-15.72277777,-42.43527777,MG
A552,-16.16027777,-42.31027777,MG
A553,-17.78472221,-46.11916666,MG
A554,-19.73583333,-42.15361111,MG
A621,-22.86083333,-43.41111111,RJ
A652,-22.98833333,-43.19027777,RJ
A733,-20.165,-50.59499999,SP
A734,-21.31916666,-50.93027777,SP
A735,-21.08555555,-49.92055554,SP
A736,-21.13305554,-48.84027777,SP
A737,-21.85555555,-48.66666666,SP
A738,-21.77972221,-47.07972221,SP
A739,-22.415,-46.80527777,SP
A740,-23.22833332,-45.41722221,SP
A842,-23.40694444,-50.57777777,PR
A843,-25.69472221,-53.09444444,PR
A847,-25.49444444,-48.32583332,PR
A855,-25.72194443,-53.74805555,PR
A811,-31.40583333,-52.70111111,RS
A827,-31.34777777,-54.01333333,RS
A830,-28.64944444,-56.01555555,RS
A831,-30.36861110000001,-56.43722221,RS
A832,-30.34138888,-54.31083333,RS
A836,-32.53749999,-53.37638888,RS
A844,-28.22194443,-51.51222222,RS
A852,-28.41694443,-54.96222222,RS
A853,-28.60361111,-53.6736111,RS
A854,-27.39555555,-53.41277777,RS
A841,-27.16944443,-51.57555554,SC
A845,-28.13333333,-49.48333333,SC
A851,-26.0811111,-48.64166666,SC
A045,-15.59638888,-47.62583332,DF
A027,-16.94583333,-50.42527777,GO
A034,-18.15777777,-47.92638888,GO
A742,-19.12249999,-51.72083332,MS
A743,-21.77472221,-54.52805554,MS
A749,-22.85722222,-54.60555555,MS
A750,-23.0025,-55.32944443,MS
A751,-23.96694443,-55.02416666,MS
A752,-23.44944444,-54.18166666,MS
A754,-20.98166666,-54.97194443,MS
A926,-10.00527777,-55.79055555,MT
A927,-12.87194443,-58.38722221,MT
A928,-13.06555555,-57.15611111,MT
A929,-13.68638888,-54.95611111,MT
A930,-13.18472221,-53.2575,MT
A931,-14.92777777,-53.8836111,MT
A932,-16.34166666,-53.76611111,MT
A933,-17.29722221,-54.83722221,MT
A934,-17.81555555,-53.28749999,MT
A935,-15.54638888,-57.38166666,MT
A936,-15.13583333,-58.115,MT
A937,-15.25111111,-59.34666666,MT
A353,-9.80416666,-36.61888888,AL
A355,-10.14527777,-36.28638888,AL
A356,-9.28749999,-35.56583333,AL
A422,-17.96416666,-38.6961111,BA
A423,-9.60277777,-42.10277777,BA
A424,-11.32888888,-41.86444444,BA
A425,-12.55722222,-41.38888888,BA
A426,-14.20805555,-42.74944444,BA
A427,-16.38916666,-39.18249999,BA
A428,-10.44305555,-40.14833333,BA
A429,-11.08472221,-43.13916666,BA
A430,-13.15583333,-41.77416666,BA
A431,-11.8,-37.59972221,BA
A432,-10.72305554,-43.65111111,BA
A433,-14.18166666,-41.67222221,BA
A434,-13.00944444,-39.61694443,BA
A435,-9.8336111,-39.49555555,BA
A436,-10.98472221,-39.61694443,BA
A437,-15.27999999,-39.091111100000006,BA
A438,-13.90722222,-38.97222221,BA
A439,-12.19249999,-43.2125,BA
A440,-11.205,-40.465,BA
A441,-11.66444444,-39.02305554,BA
A442,-10.53722221,-38.99666666,BA
A443,-10.455,-41.20722222,BA
A342,-5.1861111,-40.66999999,CE
A347,-7.07805554,-40.36305555,CE
A358,-5.90527777,-38.62777777,CE
A359,-3.48388888,-39.58833333,CE
A206,-3.74277777,-43.35194444,MA
A207,-5.82472221,-46.15944444,MA
A217,-2.27083332,-43.62388888,MA
A218,-2.59249999,-42.70722222,MA
A219,-1.66166666,-45.37277777,MA
A220,-4.24305555,-44.79499999,MA
A221,-5.50666666,-45.23694444,MA
A222,-6.03333333,-44.23333333,MA
A223,-9.10805555,-45.93194443,MA
A224,-6.65333333,-47.41833332,MA
A225,-5.55555555,-47.45972222,MA
A237,-4.82138888,-43.3436111,MA
A238,-4.32055554,-46.44972221,MA
A348,-7.48333333,-36.28638888,PB
A352,-6.56083333,-35.13472221,PB
A328,-7.83694444,-35.79611110000001,PE
A349,-8.50944444,-37.71138888,PE
A350,-7.95361111,-38.29472221,PE
A351,-8.593611099999999,-38.58388888,PE
A357,-8.66638888,-35.56805554,PE
A343,-7.07083332,-41.40416666,PI
A345,-9.03305554,-42.70055555,PI
A346,-7.47472221,-44.34472221,PI
A354,-6.97416666,-42.14694444,PI
A344,-5.16,-35.45416666,RN
A419,-10.73749999,-38.10777777,SE
A420,-10.39944444,-37.74722221,SE
A421,-10.47944443,-36.48194443,SE
A102,-9.3575,-69.92722221,AC
A104,-9.95777777,-68.165,AC
A110,-8.77666666,-67.33222221,AM
A111,-7.43527777,-64.7886111,AM
A112,-7.92277777,-63.12138888,AM
A113,-7.21527777,-59.88861110000001,AM
A117,-4.09749999,-63.14527777,AM
A119,-3.29472221,-60.62833332,AM
A120,-2.05638888,-60.02555554,AM
A121,-3.13305554,-58.48277777,AM
A122,-3.39888888,-57.6736111,AM
A123,-2.64055555,-56.75472222,AM
A124,-2.89638888,-57.75833333,AM
A125,-2.7211111,-59.94333333,AM
A126,-2.08499999,-60.04888888,AM
A128,-0.95861111,-62.94222221,AM
A242,3.81361111,-51.8625,AP
A209,-3.51083333,-52.96361111,PA
A210,-3.8436111,-50.63805555,PA
A211,-3.881111100000001,-54.2461111,PA
A214,-4.82749999,-48.17333332,PA
A215,-0.6186111,-47.35666666,PA
A226,-1.04527777,-46.78277777,PA
A227,-0.81111111,-48.51583333,PA
